k,accuracy,fscore,precision,recall
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571
4,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571
5,0.7142857142857143,0.8333333333333333,1.0,0.7142857142857143
6,0.7142857142857143,0.8333333333333333,1.0,0.7142857142857143
7,0.7142857142857143,0.8333333333333333,1.0,0.7142857142857143
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
31,1.0,0.9564102564102565,1.0,0.9238095238095239
